outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_waste_recycled,rating,0.02366663609027286,0.005871433619833593,4.0308104668555576,5.5584853602043455e-05,945,0.1862246539409601,ln_mcap,country_group,no
ln_waste_recycled,rating,0.02168029601711394,0.004870105229705439,4.451709972276151,8.518917608001619e-06,945,0.4583102754766881,ln_mcap,"country_group, sector",no
waste_recycled_rate,rating,0.0014916353739279748,0.0005671442755055869,2.6300809835349925,0.008536453034341768,929,0.06297537532173914,ln_mcap,country_group,no
waste_recycled_rate,rating,0.0012302567665599504,0.0005242622540398111,2.346643797221625,0.01894335497006724,929,0.12720540431474459,ln_mcap,"country_group, sector",no
ln_waste_total,rating,0.016876441369990825,0.005825519204944101,2.8969849340927136,0.00376767848497044,1058,0.17372032142304716,ln_mcap,country_group,no
ln_waste_total,rating,0.016256484785517424,0.004640609461188834,3.5030926264053317,0.0004598895116081111,1058,0.46212594441472943,ln_mcap,"country_group, sector",no
hazardous_share,rating,-0.0038757978797555985,0.0021419040072679393,-1.809510541370755,0.07037172397770942,862,0.02060420128357021,ln_mcap,country_group,no
hazardous_share,rating,-0.0028379336795160766,0.0018050924138992878,-1.572181932439507,0.11590836434572584,862,0.03821344738422372,ln_mcap,"country_group, sector",no
