outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating,0.013424561399826451,0.0028168545461859274,4.765798581259211,1.8810710430411577e-06,798,0.5816736906654321,ln_mcap | firm-reported emissions only,"country_group, sector",no
ln_scope12_per_revenue,rating,0.0023867385323272697,0.0030837349334462607,0.7739765524074875,0.4389446573642747,697,0.3788841642081844,ln_mcap | firm-reported emissions only,"country_group, sector",no
ln_scope12,rating × firm-reported,-0.0010671777153372216,0.007420342618824431,-0.14381784914215853,0.8856443078268158,925,0.5727778949661879,interaction with the firm-reported flag,"country_group, sector",no
ln_scope12_per_revenue,rating × firm-reported,-0.004255397762733874,0.007556558344604615,-0.5631396687054271,0.5733397811742554,808,0.3749246542705079,interaction with the firm-reported flag,"country_group, sector",no
ln_scope12,rating,0.01689086781235925,0.00265548940925877,6.360736274626686,2.0078893359025691e-10,1568,0.5649925409216909,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_revenue,rating,0.007086591861024914,0.0028480853955166526,2.4881950071372008,0.012839331035980147,1554,0.3776857066314401,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12,rating,0.01663419904522887,0.0025800336447015498,6.447279894736824,1.1387537284223192e-10,1789,0.5830245745798615,ln_mcap | country cutoff 10,"country_group_10, sector",no
ln_scope12_per_revenue,rating,0.006999452286606528,0.00282228365536182,2.4800669037319674,0.013135773299121696,1554,0.37937090972777243,ln_mcap | country cutoff 10,"country_group_10, sector",no
ln_scope12,rating,0.016685399538887355,0.0025101230298435664,6.647243716945304,2.986323298417212e-11,1789,0.577760353336711,ln_mcap | country cutoff 50,"country_group_50, sector",no
ln_scope12_per_revenue,rating,0.00661721233201959,0.0029534372777154654,2.240512226871504,0.025057687903060715,1554,0.3690632311751455,ln_mcap | country cutoff 50,"country_group_50, sector",no
ln_scope12,rating,0.01457205000166535,0.002776171878344026,5.248972556539803,1.5294985644717594e-07,1705,0.5890343056859326,"ln_mcap, roa_w","country_group, sector",no
ln_scope12,rating,0.01598679677540264,0.0028306266571058504,5.647794185527879,1.6251957569650054e-08,1705,0.5947304085811866,"ln_mcap, leverage_w","country_group, sector",no
ln_scope12,rating,0.019324839420903045,0.0027605168660108786,7.000442438458512,2.551554488855044e-12,8255,0.5982429865624108,ln_mcap | pooled firm-years,"country_group, sector, year",no
ln_scope12_per_revenue,rating,0.008026358531049951,0.002747903191474786,2.9209029473641115,0.003490185341881027,7161,0.40917414377357586,ln_mcap | pooled firm-years,"country_group, sector, year",no
