sector,variable,count,mean,std,min,25%,50%,75%,max
All,rating,2151.0,46.10094939216596,26.686174606546604,0.0,25.0,46.24903179093416,67.96572340219808,99.64504299938665
All,rating_resource_use,2151.0,55.92845499380514,31.039769441923756,0.0,32.8337424471299,60.1892285298398,83.59371594228165,99.9272197962154
All,rating_innovation,2151.0,36.273443790526784,32.72014285758753,0.0,0.0,37.4517374517374,60.9970674486803,99.8831775700934
All,ln_scope12,1825.0,9.958598738752125,3.028138550856824,-0.941608539858445,8.05579245097777,9.852088989450127,11.944227246428763,19.21313012558617
All,ln_scope3,1714.0,12.977860462699777,3.1329545144527877,0.1160036757563061,11.20572218053708,13.132856537494701,15.211568893234103,20.7862406361078
All,ln_scope12_per_revenue,1585.0,-11.110479779433872,2.15435183477455,-19.86895363619878,-12.432081385612246,-11.189944048195622,-9.934276814063711,-2.7444656859236027
All,ln_scope12_per_assets,1739.0,-12.12437801032734,2.6589132088627045,-23.84423718593528,-13.542229056830712,-11.783863171172722,-10.500011238224154,-4.035015369772875
All,ln_mcap,2104.0,21.326507025642695,1.7405760750384711,18.00364936849554,19.9638633371302,21.177714858731672,22.48584014932988,26.763628670898274
All,ln_assets,2053.0,21.842499026018206,2.00611691241689,16.925062467717726,20.38615165042976,21.64539955160213,23.101322662432874,28.81896859027448
All,roa,2053.0,0.034897861546732675,0.12183803249934523,-0.865807537268762,0.0071907957813997,0.0329866147279432,0.0666037373608088,2.210503164816485
All,leverage,2052.0,0.24751551316074727,0.19397102409408884,0.0,0.08814815235470103,0.22913599526471673,0.36797941790281663,2.5315876688746908
All,firm_age,2027.0,37.93981253083374,32.87083712700049,0.0,17.0,27.0,45.0,201.0
All,free_float,2146.0,66.66302050326189,27.73247519328708,0.0,43.36705,70.884,93.503025,100.0
All,reporting_scope,1879.0,97.51420425758381,11.192957759245655,5.93,100.0,100.0,100.0,100.0
All,waste_recycled_rate,959.0,0.6803837793284476,0.26593054459124127,0.0,0.5032858330622509,0.7464810841923499,0.9000235072872591,1.0
Academic & Educational Services,rating,4.0,28.72159090909089,19.707611126028574,2.27272727272727,20.255681818181817,32.4431818181818,40.90909090909087,47.7272727272727
Academic & Educational Services,ln_scope12,3.0,4.606742770813099,1.6792191595509163,3.1684242813721024,3.6840896790010356,4.199755076629969,5.325902015533597,6.452048954437226
Academic & Educational Services,ln_scope12_per_revenue,3.0,-14.357323556240992,1.2247792158932576,-15.472542371810096,-15.012724653084192,-14.552906934358289,-13.799714148456442,-13.046521362554593
Academic & Educational Services,ln_assets,4.0,19.865621161051827,1.2638054311583906,18.80762986822202,19.183525867052705,19.483663182602726,20.165758476601848,21.68752841077984
Basic Materials,rating,165.0,54.57895787638799,23.913890838923038,0.0,39.74079199489032,56.8563133185075,71.7685940202619,98.71901665989436
Basic Materials,ln_scope12,157.0,13.04668712017404,2.678129307865904,2.427454075039915,11.249936005108818,13.041890577254282,14.740959227623197,18.415165563264257
Basic Materials,ln_scope12_per_revenue,147.0,-8.565634984270716,1.67951557558889,-13.036579789486211,-9.647812408424539,-8.46857997406369,-7.5924026223614,-5.276720637100119
Basic Materials,ln_assets,157.0,21.93037203970051,1.6187245767974698,16.925062467717726,20.797990228778158,22.043661737012624,23.07293920213877,25.68049332194202
Consumer Cyclicals,rating,284.0,51.02860242577152,23.94975886383869,0.0,32.01412395228885,49.952247646867875,67.90505753766058,99.64504299938665
Consumer Cyclicals,ln_scope12,271.0,9.839695561485511,2.3043804633363734,1.410986973710262,8.344705932014689,9.873852747406437,11.282485660331453,16.150280226139774
Consumer Cyclicals,ln_scope12_per_revenue,257.0,-11.688923315858995,1.5742576433296294,-18.797524678049204,-12.584818637496758,-11.66582779272937,-10.75404044966868,-7.573348803223168
Consumer Cyclicals,ln_assets,270.0,21.65730917242408,1.620705306441969,18.174590018867903,20.544169090590646,21.432911460276806,22.664037116966117,27.35252744565933
Consumer Non-Cyclicals,rating,127.0,50.54364107734891,25.0543804145313,2.848837209302325,33.38317642334462,50.0868055555555,71.71704546006487,94.68678160919536
Consumer Non-Cyclicals,ln_scope12,123.0,11.398306349158434,2.103107034382947,5.6240175061873385,10.180449505324855,11.74035581482002,12.690033011399201,15.547579645920596
Consumer Non-Cyclicals,ln_scope12_per_revenue,121.0,-10.610246621263853,1.5256526611981824,-16.991226269229813,-11.32851709828331,-10.686091231541283,-9.774666428490145,-5.948296934747162
Consumer Non-Cyclicals,ln_assets,123.0,22.057561757500444,1.633537403524917,18.99307729115145,20.855343175080293,21.92335892489638,23.186747161426226,26.11146046989712
Energy,rating,82.0,45.711746436729214,21.863165686424257,7.51953125,29.444521949404752,43.1782581453634,59.53344909543206,88.6671952078928
Energy,ln_scope12,78.0,12.636423701733419,3.317303766675324,2.0955609235597192,10.421911278628013,12.930889239955434,14.919362859442087,18.161262136773445
Energy,ln_scope12_per_revenue,74.0,-9.052091522046641,2.169745997957207,-14.908885021022304,-10.056563294920227,-8.622008497529968,-7.888448400856524,-2.7444656859236027
Energy,ln_assets,77.0,22.567141738683173,1.9668954768708493,17.83763034652207,21.13685381815186,22.514741932694665,23.98693527898998,26.637714341405708
Financials,rating,455.0,38.30003297045606,31.73294801638727,0.0,5.8939669492496005,33.76398648702422,66.7908473065567,98.25429707183244
Financials,ln_scope12,261.0,7.9471402249229515,2.6320182278047177,0.6931471805599453,6.035481432524756,7.946263643580541,9.876020256569689,15.076991414999364
Financials,ln_scope12_per_revenue,98.0,-13.199812412615081,2.6175677443141576,-19.55761162447278,-14.539856820596414,-13.774812596170548,-12.03056127564415,-4.407868873513616
Financials,ln_assets,439.0,22.44637215461514,2.6281037756797248,17.368111933501496,20.291234646412743,21.875543666505816,24.486658889143037,28.81896859027448
Healthcare,rating,161.0,34.72295875372292,24.31615856416239,0.0,15.34552845528455,33.59375,51.4285714285714,80.79959004602989
Healthcare,ln_scope12,129.0,9.470407244563251,2.5232706033093955,1.7047480922384253,7.950502434808851,9.662180030594246,11.17142058582094,15.030423302328543
Healthcare,ln_scope12_per_revenue,121.0,-11.528724886950114,1.4479383745260463,-17.022121914707768,-12.200167411789907,-11.361283785279138,-10.588509045863775,-8.266723074968883
Healthcare,ln_assets,152.0,21.070738008713594,2.035309868872472,17.176041553542813,19.443334929327083,20.96842019486644,22.395011483243167,25.72675430047588
Industrials,rating,396.0,48.88910644254358,25.18433526866698,0.0,28.666041715090437,47.614103696708426,68.79855302504978,99.5322639445862
Industrials,ln_scope12,374.0,10.37847582388727,2.4389598325793505,3.310543013394025,8.878269599107423,10.227337587899704,11.904264053597057,17.352694648826017
Industrials,ln_scope12_per_revenue,359.0,-11.059591480149349,1.6297335188654511,-16.81637174657898,-11.863342986393103,-11.180861737090863,-10.389566599770399,-6.359181671992708
Industrials,ln_assets,379.0,21.57685195284885,1.6562435539616434,17.445452329444958,20.376059543451458,21.545430019044105,22.714207938871944,26.555104812205347
Real Estate,rating,144.0,51.29834874246852,26.06929536611064,0.0,30.900175756347938,54.682098349049475,74.60060875848711,90.5376571319499
Real Estate,ln_scope12,130.0,8.281169875346063,2.066389298076066,0.5306282510621704,7.188555050941296,8.578121036978786,9.536038889272927,13.695372501421796
Real Estate,ln_scope12_per_revenue,122.0,-11.297365779047846,1.9394419765783188,-18.6197486633388,-12.321530826799835,-10.926002743938561,-10.048696422371918,-7.672546073791485
Real Estate,ln_assets,136.0,22.034729786060126,1.2800495981008018,17.556248076929553,21.142533779114736,22.110787013236312,22.830330141291164,25.419444720443444
Technology,rating,262.0,44.010709063766306,22.423039906885194,0.52083333333333,25.647925764192138,43.05283864723125,63.86003107610029,96.4127933732167
Technology,ln_scope12,236.0,8.45374309136863,2.581657724917491,-0.941608539858445,6.578468709601741,8.542273232688977,9.978646783502608,15.259737213956482
Technology,ln_scope12_per_revenue,225.0,-12.315214233573789,1.647101871070215,-19.86895363619878,-13.365729321888498,-12.366350118236385,-11.257576502143465,-8.391871892319209
Technology,ln_assets,249.0,21.051322077490706,1.818016037821507,17.358677827880925,19.6638922633938,20.782368631992615,22.330570472426512,26.553187880914013
Utilities,rating,71.0,57.58357056307031,22.93881751374798,2.551020408163265,45.53322843993428,58.69565217391301,72.7681138145742,96.73913043478257
Utilities,ln_scope12,63.0,12.841759054813044,3.7033567250343435,2.4069451083182885,10.570297940742076,13.663421867441787,15.982296741969058,19.21313012558617
Utilities,ln_scope12_per_revenue,58.0,-9.344650592021285,2.563432202211612,-18.50257693652956,-10.853190684233136,-8.890036462942474,-7.8456680440346105,-3.960423788519341
