Identifier,industry_raw,sector
GLJn.DE,financial services,Financials
TRP.BX,manufacturing industry,Industrials
CRLI.MI,consumer electronics industry,Information Technology
GIVN.S,chemical industry,Materials
SONO.PA,activities of head offices,Other
BNP1.WA,economics of banking,Financials
COFA.PA,holding company activities,Financials
SAGS.L,higher education,Other
OSBO.L,financial sector,Financials
KOG.OL,petroleum industry,Energy
KTN.DE,embedded system,Other
HBR.L,petrochemical industry,Materials
AKSOA.OL,industrial manufacturing,Industrials
ISB.IC,bank,Financials
SNI.OL,logistics,Industrials
VTWRn.H,telecommunications,Communication
SVIK.ST,research industry,Other
SBBb.ST,holding company,Financials
ANTO.L,mining,Materials
LINK.OL,telecommunications,Communication
CTY1S.HE,real property,Real Estate
JET2.L,hospitality industry,Health Care
ENEA.ST,software industry,Information Technology
NSKOG.OL,pulp and paper industry,Materials
PEUG.PA,holding company activities,Financials
ENGIE.PA,energy industry,Other
ALGIL.PA,activities of head offices,Other
EMEIS.PA,Q112166151,Other
OHBG.DE,aviation,Industrials
IF.MI,financial services,Financials
ALFA.ST,industrial manufacturing,Industrials
INTRUM.ST,collection agency,Other
IR5B_u.I,water transport,Industrials
WG.L,petroleum industry,Energy
NTEA_p.L,telecommunications,Communication
OHLA.MC,construction,Industrials
ACS.MC,construction,Industrials
OLVAS.HE,beverage industry,Consumer Staples
KNOS.L,software industry,Information Technology
SOPR.PA,IT systems and software consulting,Information Technology
YRM.MI,heavy industry,Other
VOES.VI,iron and steel industry,Materials
EDP.LS,electricity supply company,Utilities
CPIE.VI,real estate industry,Real Estate
ICGIN.L,business-to-business,Other
ENEI.MI,energy industry,Other
IVG.MI,automotive industry,Consumer Discretionary
TOKMAN.HE,retail,Consumer Discretionary
BEZG.L,insurance,Financials
HOME.MC,real property,Real Estate
CTT.LS,mail,Other
LIGHT.AS,lighting,Other
TTALO.HE,health care,Health Care
PFD.L,food industry,Consumer Staples
UN0k.DE,electricity generation,Utilities
ENRGY.BR,renewable energy industry,Other
CARDC.L,retail,Consumer Discretionary
ADP.PA,fixed-base operator,Other
INRr.AT,telecommunications,Communication
NBGr.AT,financial services,Financials
BRGE.L,investment company,Financials
SHEL.L,petroleum industry,Energy
CMBT.BR,water transport,Industrials
MING.OL,financial services,Financials
ASCI.MI,energy sector,Other
ESNT.L,industrial parts manufacturer,Industrials
PHMR.MC,biopharmaceutical,Health Care
UPR.I,pharmacy,Health Care
ICAG.L,aviation,Industrials
DSFIR.AS,chemical industry,Materials
NONG.OL,financial services,Financials
QQ.L,weapons industry,Industrials
ENAE.WA,energy industry,Other
ASTH.WA,food industry,Consumer Staples
VLAN.AS,investment,Financials
METSO.HE,outline of industrial machinery,Industrials
CZG.PR,weapons industry,Industrials
SBOS.OL,real estate development,Real Estate
ORX.ST,pharmaceutical industry,Health Care
GLEN.L,mining industry,Materials
SYENS.BR,chemical industry,Materials
DUNI.ST,Other intermediaries in the trade of miscellaneous products,Communication
III.L,aerospace industry,Industrials
MPCC.OL,water transport,Industrials
ONT.L,biotechnology industry,Health Care
MOZN.S,retail,Consumer Discretionary
RKH.L,natural resource,Other
SBNOR.OL,savings bank,Financials
EQUI.MI,education,Other
ETLNDR.MM,real estate development,Real Estate
CA1.DE,artificial intelligence,Other
ENOG.L,petroleum industry,Energy
CAMX.ST,pharmaceutical industry,Health Care
MERY.PA,rental of land and other real estate,Real Estate
OSE.PA,research and development in biotechnology,Health Care
PON1V.HE,manufacture of machinery and equipment,Industrials
TYRES.HE,automotive industry,Consumer Discretionary
IMPN.S,civil engineering,Industrials
NLFSK.CO,industrial manufacturing,Industrials
GXIG.DE,industrial manufacturing,Industrials
DBV.PA,biotechnology,Health Care
CLN.S,chemical industry,Materials
AIBG.I,financial sector,Financials
ATYM.L,mining,Materials
O5G.DE,real estate developer,Real Estate
DMPG.DE,pharmaceutical company,Health Care
CCH.L,food industry,Consumer Staples
CLTN.S,Agents specialized in the trade of other specific products (French),Other
PGE.WA,energy industry,Other
NDAFI.HE,financial services,Financials
PRIUA.PR,aircraft industry,Industrials
CCC.L,information technology,Information Technology
PHP.L,investment trust,Financials
DOMP.WA,real estate industry,Real Estate
HOCM.L,mining,Materials
BORY.WA,automotive industry,Consumer Discretionary
MEL.MC,hospitality industry,Health Care
CECG.DE,retail,Consumer Discretionary
OXB.L,pharmaceutical industry,Health Care
NETC.L,software development,Information Technology
PROX.BR,telecommunications,Communication
CNA.L,energy supply,Other
CAIV.VI,real estate industry,Real Estate
ABGV.VI,construction,Industrials
BAR.BR,technology,Information Technology
RECT.BR,industrial manufacturing,Industrials
BAYGn.DE,pharmaceutical industry,Health Care
KWGG.DE,engineering,Industrials
HEIG.DE,other mining and quarrying,Materials
DEZG.DE,automotive industry,Consumer Discretionary
SKBG.DE,manufacture of machinery for paper and paperboard production,Materials
SZGG.DE,iron and steel industry,Materials
SZUG.DE,food and tobacco industry,Consumer Staples
CAST.ST,real estate company,Real Estate
SAN.MC,financial services,Financials
PHARP.L,petroleum industry,Energy
AIE.L,investment management,Financials
TUBA.MC,metal industry,Materials
TEF.MC,telecommunications,Communication
CARR.PA,retail,Consumer Discretionary
AXAF.PA,financial services,Financials
TCFP.PA,weapons industry,Industrials
RXL.PA,holding company activities,Financials
ICAD.PA,rental of land and other real estate,Real Estate
BETSb.ST,online game,Other
FRVIA.PA,automotive industry,Consumer Discretionary
SGEF.PA,construction industry,Industrials
PERP.PA,"distilling, rectifying and blending of spirits",Other
RENA.PA,automotive industry,Consumer Discretionary
MOWI.OL,fish farming,Other
SEBF.PA,economics of banking,Financials
EXHO.PA,Q112165913,Other
SDY.L,equipment rental,Other
BAES.L,aerospace engineering,Industrials
AGT.L,activities of holding companies,Other
CWK.L,food,Consumer Staples
GSK.L,pharmaceutical industry,Health Care
JMAT.L,chemical industry,Materials
KSP.I,building material,Other
LAND.L,real estate industry,Real Estate
MGAMM.L,industrial manufacturing,Industrials
RSL2.DE,Manufacture of electricity distribution and control apparatus,Utilities
UU.L,"water collection, treatment and supply",Other
PSON.L,publishing,Communication
PSN.L,house-building,Other
PIRC.MI,Other intermediaries in the trade of miscellaneous products,Communication
ATTP.WA,chemical industry,Materials
RTO.L,pest control,Other
RIO.L,metal industry,Materials
NOVN.S,pharmaceutical industry,Health Care
SAIN.L,activities of holding companies,Other
SRP.L,service,Other
SN.L,medical technology industry,Health Care
WEW.DE,electronic business,Other
SPX.L,industrial manufacturing,Industrials
TMPL.L,"financial service activities, except insurance and pension funding",Financials
ULVR.L,personal care product,Other
MARS.L,brewing industry,Other
ZURN.S,insurance,Financials
NESN.S,food industry,Consumer Staples
ROG.S,pharmaceutical industry,Health Care
NN.AS,insurance industry,Financials
LOGN.S,computer hardware industry,Information Technology
SCHP.S,mechanical engineering,Industrials
SFZN.S,pharmaceutical company,Health Care
SIKA.S,chemical industry,Materials
BYS.S,mechanical engineering,Industrials
BOUV.OL,information technology consulting,Information Technology
AIXGn.DE,semiconductor industry,Information Technology
SIGNC.S,basic industry and chemicals sector,Materials
GHH.L,industrial parts manufacturer,Industrials
GSFG.OL,seafood,Consumer Staples
SAFE.L,self storage,Other
1U1.DE,telecommunications,Communication
SLRS.MC,renewable energy industry,Other
ACR.OL,financial services,Financials
BEAN.S,"heating, ventilation, and air conditioning",Other
VSVS.L,materials science,Materials
NAFG.DE,mining,Materials
SESFd.PA,telecommunications,Communication
DOCO.VI,hospitality industry,Health Care
BITTI.HE,information technology,Information Technology
CABK.MC,financial services,Financials
LPKG.DE,mechanical engineering,Industrials
SOFb.ST,rail industry,Other
COLOb.CO,health care,Health Care
GN.CO,electronics,Information Technology
TIV.CO,amusement park,Other
VOPA.AS,petroleum industry,Energy
WLSNc.AS,publishing,Communication
EVKn.DE,chemical industry,Materials
AGOP.WA,mass media,Communication
AKER.OL,financial services,Financials
ATEA.OL,IT infrastructure,Other
ORK.OL,conglomerate,Other
ISP.MI,other monetary intermediations,Communication
CRDI.MI,financial sector,Financials
UTG.L,real estate industry,Real Estate
PALF.VI,mechanical engineering,Industrials
INDUa.ST,investment company,Financials
LATOb.ST,investment,Financials
SHBa.ST,financial sector,Financials
HINV.BR,real estate company,Real Estate
SAMPO.HE,financial services,Financials
LINDEX.HE,retail,Consumer Discretionary
FOXT.L,estate agent,Other
CLASb.ST,retail,Consumer Discretionary
VIE.PA,water supply,Utilities
LONN.S,chemical industry,Materials
BYLOTr.AT,lottery,Other
BFSA.DE,recycling,Other
CEMI.MI,cement industry,Materials
KOF.PA,real estate industry,Real Estate
BYG.L,self storage,Other
SQN.S,economics of banking,Financials
TXTP.WA,artificial intelligence,Other
FRP.L,restructuring,Other
NEL.OL,manufacture of other special-purpose machinery n.e.c.,Industrials
HTRO.ST,manufacture of consumer electronics,Industrials
GNS.L,biotechnology,Health Care
TCAPI.L,bank,Financials
MRL.MC,real estate development,Real Estate
DHLn.DE,logistics,Industrials
EDRE.MC,tourism,Consumer Discretionary
ONTEX.BR,wholesale trade (inter-company trade) of perfumery and beauty products,Other
EVDG.DE,airline ticket,Industrials
CPRI.MI,beverage industry,Consumer Staples
SOIT.PA,Manufacture of electronic components,Industrials
ZAP.OL,electrical engineering,Utilities
AGFEb.CO,sports industry,Other
EMMN.S,food industry,Consumer Staples
AFK.OL,electricity generation,Utilities
INF.L,publishing,Communication
TUNE.L,electronics,Information Technology
BCP.LS,economics of banking,Financials
QLT.L,financial services,Financials
BAWG.VI,economics of banking,Financials
ASOS.L,clothing industry,Other
CFEB.BR,rail transport,Industrials
SRG.MI,gas industry,Energy
ENI.MI,petroleum industry,Energy
ERST.VI,financial services,Financials
ARGX.BR,biotechnology,Health Care
VQTG.H,insulation technology,Information Technology
NAPA.OL,computer hardware industry,Information Technology
JUNG_p.DE,mechanical engineering,Industrials
MILDEF.ST,military industry,Other
TLGO.MC,Railway car manufacturing,Industrials
WRT1V.HE,industrial manufacturing,Industrials
RCH.L,publishing,Communication
RKET.H,financial services,Financials
MCM.MC,pulp and paper industry,Materials
FIMI.MI,energy sector,Other
SECUb.ST,private security company,Other
PCOP.WA,retail,Consumer Discretionary
EQNR.OL,petroleum industry,Energy
ABNd.AS,financial services,Financials
1COVG.F,chemical industry,Materials
PTSB.I,financial services,Financials
HRA.MI,service sector,Other
CALI.MI,cement industry,Materials
GYM.L,fitness industry,Other
SHOTE.ST,hotel chain,Consumer Discretionary
NWGP.WA,manufacture of machinery and equipment,Industrials
AMBUb.CO,health care,Health Care
XIOR.BR,student housing,Other
MMGRb.ST,financial services,Financials
HLE.DE,automotive supplier,Consumer Discretionary
SKISb.ST,tourism,Consumer Discretionary
THG.L,retail,Consumer Discretionary
VEND.OL,classified advertising,Other
AVANZ.ST,financial services,Financials
MCG.L,public transport,Industrials
VACN.S,energy supply,Other
TRMDa.CO,shipping line,Other
DTGGe.DE,automotive industry,Consumer Discretionary
AUTO.OL,robotics,Other
GETIb.ST,health care,Health Care
GRLS.MC,pharmaceutical industry,Health Care
SUBC.OL,energy industry,Other
BMPS.MI,financial sector,Financials
HIAB.HE,metal industry,Materials
GEO.MI,textile industry,Other
SPKSJF.CO,financial services,Financials
AKE.PA,chemical industry,Materials
R3NK.DE,automotive industry,Consumer Discretionary
PZU.WA,financial services,Financials
IG.MI,Manufacture of gas; distribution of gaseous fuels through mains,Energy
ARDS.AS,business and other management consultancy activities,Other
1SXP.DE,pharmaceutical packaging,Health Care
ZELA.CO,pharmaceutical industry,Health Care
ENT.L,online gambling,Other
EIOF.OL,freight transport,Industrials
APAM.AS,iron and steel industry,Materials
MBK.WA,banking,Financials
AUTON.S,automotive industry,Consumer Discretionary
SFER.MI,clothing industry,Other
IPAR.PA,manufacture of perfumes and toiletries,Energy
AGNr.AT,air transport,Industrials
ZUMV.VI,industrial manufacturing,Industrials
SRENH.S,insurance,Financials
PIA.MI,automotive industry,Consumer Discretionary
TOM2.AS,consumer electronics industry,Information Technology
BOCH.CY,financial services,Financials
MMKV.VI,pulp and paper industry,Materials
KLR.L,engineering,Industrials
PROT.OL,financial services,Financials
DESN.S,chemical industry,Materials
MCOVb.ST,health care,Health Care
OTPB.BU,economics of banking,Financials
KNEBV.HE,engineering,Industrials
HUSCO.CO,construction industry,Industrials
LSEG.L,stock market,Other
STDM.PA,pharmaceutical industry,Health Care
COFB.BR,real estate industry,Real Estate
KBHL.CO,Airport Operations,Other
EFGN.S,financial services,Financials
AL2SI.PA,business and other management consulting,Other
WWH.L,investment management,Financials
TRYG.CO,insurance industry,Financials
BRBI.MI,automotive industry,Consumer Discretionary
HEIO.AS,beverage industry,Consumer Staples
KALMAR.HE,mechanical engineering,Industrials
DOM.L,system catering,Other
SBRE.L,insurance,Financials
AYV.PA,activities of head offices,Other
SATSS.OL,aircraft ground handling,Industrials
CLIG.L,investment trust,Financials
XVIVO.ST,wholesale (inter-company trade) of pharmaceutical products,Health Care
VLTSA.PA,"engineering, technical studies",Industrials
EVRE.L,iron and steel industry,Materials
LNA.PA,accommodation facility for dependent elderly people,Other
PCZ.DE,finance,Financials
DIAS.MI,biotechnology,Health Care
KAMBI.ST,Gaming,Consumer Discretionary
JTC.L,hospitals and rehabilitation,Health Care
SCMAS.MC,estate,Other
MRCG.DE,chemical industry,Materials
VSURE.ST,home security,Other
NG.L,electric power industry,Utilities
EVPL.L,video game industry,Other
DTEGn.DE,telecommunications,Communication
VNAn.DE,real estate industry,Real Estate
UPM.HE,forestry,Materials
NORTHM.CO,mass media,Communication
QIA.DE,biotechnology,Health Care
FMEG.DE,health care,Health Care
WCHG.DE,chemical industry,Materials
SPOLS.OL,financial services,Financials
TELIA.ST,telecommunications,Communication
MANV.VI,confectionery industry,Other
OBER.VI,economics of banking,Financials
BEKB.BR,industrial manufacturing,Industrials
COLR.BR,mass-market retailing,Consumer Discretionary
PHG.AS,electronics industry,Information Technology
SOF.BR,financial services,Financials
BASFn.DE,chemical industry,Materials
PBBG.DE,"financial service activities, except insurance and pension funding",Financials
BOSSn.DE,textile industry,Other
HLAG.DE,water transport,Industrials
PHHGn.F,industrial sector,Industrials
PUMG.DE,textile industry,Other
SIEGn.DE,electrical engineering,Utilities
LUVE.MI,industrial manufacturing,Industrials
ACX.MC,iron and steel industry,Materials
EBRO.MC,food industry,Consumer Staples
ASAI.L,software industry,Information Technology
BNPP.PA,other monetary intermediations,Communication
BOUY.PA,conglomerate,Other
SCOR.PA,Q112166004,Other
VCTP.PA,"manufacture of cement, lime and plaster",Materials
ODET.PA,holding company activities,Financials
ESLX.PA,glasses manufacturing,Materials
EXEP.PA,activities of head offices,Other
BABr.AT,retail,Consumer Discretionary
CVO.PA,rental of land and other real estate,Real Estate
GFII.PA,activities of head offices,Other
IMTP.PA,battery industry,Other
LVMH.PA,retail,Consumer Discretionary
OPM.PA,automotive supplier,Consumer Discretionary
PRTP.PA,activities of head offices,Other
PUBP.PA,advertising industry,Other
ROBF.PA,Q112165279,Other
ATOS.PA,IT service management,Other
VIRB.PA,Q112165285,Other
BAB.L,electrical industry,Utilities
BAG.L,beverage industry,Consumer Staples
BATS.L,tobacco industry,Consumer Staples
ALCLS.PA,research and development in biotechnology,Health Care
BOY.L,metal treatment and coating,Materials
BNZL.L,product distribution,Other
CKN.L,freight transport,Industrials
DHER.DE,food delivery service,Consumer Staples
COSG.L,civil engineering,Industrials
HLMA.L,technology,Information Technology
ELM.L,manufacture of chemicals and chemical products,Materials
FCH.L,fintech,Other
HAYS.L,employment services industry,Other
HILS.L,infrastructure,Other
HSBA.L,financial services,Financials
WLTP.WA,automotive industry,Consumer Discretionary
KYGa.I,food industry,Consumer Staples
MYI.L,"financial service activities, except insurance and pension funding",Financials
RCP.L,investment company,Financials
SDR.L,financial services,Financials
SMT.L,investment management,Financials
ARBB.L,financial sector,Financials
SVT.L,"water collection, treatment and supply",Other
BGS.L,investment management,Financials
SMIN.L,vehicle construction,Industrials
STAN.L,financial services,Financials
WLN.PA,"data processing, hosting and related activities",Information Technology
MRCM.L,activities of holding companies,Other
PKO.WA,banking,Financials
TPK.L,retail,Consumer Discretionary
FRAS.L,retail,Consumer Discretionary
EUFI.PA,"technical analyses, tests and inspections",Other
WTB.L,hospitality industry,Health Care
HELG.OL,financial services,Financials
ASCN.S,telecommunications,Communication
KTCG.VI,manufacturing of scientific and technical instrumentation,Industrials
DAE.S,industrial parts manufacturer,Industrials
EMSN.S,Angewandte Chemie,Other
GF.S,industrial manufacturing,Industrials
MLXS.BR,microelectronics,Information Technology
HOLN.S,mining,Materials
KARN.S,industrial sector,Industrials
PMN.S,power electronics,Utilities
VONN.S,asset management,Financials
GYC.DE,real estate industry,Real Estate
ELISA.HE,telecommunications,Communication
PRY.MI,industrial manufacturing,Industrials
TPE.WA,energy sector,Other
KTAG.DE,automobile vehicle manufacturing,Industrials
CRST.L,house-building,Other
ALM.MC,pharmaceutical industry,Health Care
MNDI.L,papermaking,Materials
FAGRO.BR,pharmaceutical industry,Health Care
MNG.L,financial services,Financials
ETGG.DE,bioenergy,Other
OPUSG.BU,asset management,Financials
O2Dn.H,telecommunications,Communication
WWL.WA,food industry,Consumer Staples
2GBG.DE,heating technology,Information Technology
BOND.PA,food industry,Consumer Staples
MTCM.MI,engineering,Industrials
CITT.PA,investment funds and similar financial entities,Financials
OCI.AS,chemical industry,Materials
SKUE.OL,financial services,Financials
RKT.L,personal care product,Other
BAVA.CO,biotechnology,Health Care
OVH.PA,web hosting service,Other
OSRn.H,semiconductor,Information Technology
NKT.CO,industrial manufacturing,Industrials
DNORD.CO,freight transport,Industrials
ALSYDB.CO,financial services,Financials
AD.AS,retail,Consumer Discretionary
AKZO.AS,chemical industry,Materials
FNAC.PA,activities of head offices,Other
HMSN.ST,technology company,Information Technology
HEIN.AS,beverage industry,Consumer Staples
MVVGn.DE,energy supply,Other
BSLG.DE,sporting activities,Other
BONHR.OL,holding company,Financials
NHY.OL,petroleum industry,Energy
STB.OL,insurance industry,Financials
TOM.OL,reverse vending machine,Industrials
THRLT.L,real estate industry,Real Estate
MOED.MI,publishing,Communication
GASI.MI,insurance industry,Financials
TLIT.MI,telecommunications,Communication
BMAG.S,automotive industry,Consumer Discretionary
SEBa.ST,economics of banking,Financials
SKAb.ST,construction,Industrials
SKFb.ST,industrial manufacturing,Industrials
KESKOB.HE,retail,Consumer Discretionary
OUT1V.HE,copper extraction,Other
NOKIA.HE,telecommunications device,Communication
FUTR.L,publishing,Communication
TIETO.HE,technology company,Information Technology
SISG.DE,Wholesale (intercompany trade) of electronic and telecommunications equipment and parts,Communication
TTKG.DE,mail order,Other
VIOH.AT,iron and steel industry,Materials
JUSTJ.L,financial services,Financials
DADP.WA,e-commerce,Consumer Discretionary
BANB.S,chemical industry,Materials
LTMC.MI,gambling,Other
ZO1G.H,retail,Consumer Discretionary
PAFR.L,mining,Materials
PST.MI,logistics,Industrials
TXGN.S,mass media,Communication
MOBN.S,real estate company,Real Estate
MEDG.DE,hospital,Health Care
ENX.PA,financial services,Financials
GAW.L,publishing,Communication
STLAM.MI,automotive industry,Consumer Discretionary
SPI.L,health care,Health Care
UBSGE.S,financial services,Financials
SFQ.DE,automotive supplier,Consumer Discretionary
DAL.MI,electronics,Information Technology
SABE.MC,financial services,Financials
NA9n.DE,information technology,Information Technology
NEXS.PA,activities of head offices,Other
HAGG.DE,weapons industry,Industrials
TEMN.S,fintech,Other
DLG.MI,electronics industry,Information Technology
ORRON.ST,petroleum industry,Energy
EMII.MI,financial services,Financials
BAKKA.OL,food industry,Consumer Staples
ALRR.WA,banking,Financials
DSV.CO,transport,Industrials
ELANb.ST,printing company,Other
FNMI.MI,transport company,Industrials
DFSD.L,retail,Consumer Discretionary
FIA1S.HE,commercial aviation,Industrials
FLUGb.CO,paint industry,Other
FEML.L,Closed-end fund,Other
INPST.AS,logistics,Industrials
TE.PA,"engineering, technical studies",Industrials
TNOM.HE,consulting,Other
INVP.L,financial services,Financials
NOLAb.ST,plastics industry,Materials
SSE.L,energy sector,Other
PSMGn.DE,mass media,Communication
TENR.MI,mining industry,Materials
RAND.AS,human resource management,Other
SSABa.ST,iron and steel industry,Materials
TFBANK.ST,financial services,Financials
ABS.PA,higher education,Other
EXMR.BR,merchant marine,Other
FABG.ST,real estate industry,Real Estate
CURY.L,retail,Consumer Discretionary
FROP.WA,chemical industry,Materials
BPSI.MI,financial sector,Financials
GDRB.BU,pharmaceutical industry,Health Care
AMA.MC,software industry,Information Technology
WWI.OL,shipping line,Other
NAS.OL,Q112165870,Other
EDEN.PA,Q112166013,Other
LEON.S,financial services,Financials
JDW.L,hospitality industry,Health Care
CER.L,software industry,Information Technology
OTEC.OL,Other software publishing,Information Technology
WAFGn.DE,electronics,Information Technology
KEMPOWR.HE,industrial sector,Industrials
HFD.L,retail,Consumer Discretionary
GBGP.L,identity verification,Other
AZMT.MI,investment,Financials
SIFG.AS,religious congregations and associations,Other
AO.L,mail order,Other
ENR1n.DE,energy technology,Information Technology
HRMr.AT,construction,Industrials
YPSN.S,wholesale (inter-company trade) of pharmaceutical products,Health Care
NEUP.WA,wholesale,Other
RDC.DE,pharmacy,Health Care
MGN.OL,renewable energy,Other
LHYFE.PA,Q112166090,Other
FGP.L,public transport,Industrials
SSPG.L,food service,Consumer Staples
SY1G.DE,chemical industry,Materials
HIK.L,pharmaceutical industry,Health Care
MILP.WA,financial services,Financials
NEXII.MI,financial services,Financials
BCGE.S,bank,Financials
MTXGn.DE,aviation,Industrials
JSW.WA,mining,Materials
EUR.WA,trade,Other
SRAIL.S,rail transport,Industrials
DOCM.S,pharmacy,Health Care
