Identifier,industry_raw,sector
FCT.MI,shipbuilding,Industrials
CLOEb.ST,confection,Other
ARION.IC,financial sector,Financials
CLNX.MC,telecommunications infrastructure,Communication
ANTIN.PA,private equity,Other
ZALG.DE,retail,Consumer Discretionary
NDXG.DE,wind power industry,Utilities
ITX.MC,retail,Consumer Discretionary
ERMT.PA,Mining of other non-ferrous metal ores,Materials
GAMA.L,telecommunication company,Communication
AMPF.MI,industrial manufacturing,Industrials
VITR.ST,wholesale (inter-company trade) of pharmaceutical products,Health Care
BRIMH.IC,fishing industry,Other
AFRY.ST,development service provider,Other
AMUN.PA,financial services,Financials
SCATC.OL,electric power production,Utilities
CTY.L,investment trust,Financials
CAGR.PA,other monetary intermediations,Communication
AGES.BR,financial services,Financials
ABGA.OL,financial services,Financials
CDR.WA,video game industry,Other
MBBG.DE,vehicle industry,Other
MOLN.S,biotechnology,Health Care
INWT.MI,telecommunications,Communication
KBX.DE,railway,Industrials
ZAL.OL,human resource management,Other
CONSTI.HE,construction industry,Industrials
NOBI.ST,kitchen,Other
KEMIRA.HE,chemical industry,Materials
BRBY.L,clothing industry,Other
APETIT.HE,food industry,Consumer Staples
SHA0n.DE,automotive industry,Consumer Discretionary
EPR.OL,retail,Consumer Discretionary
PBEE.L,pension provider,Other
OEMb.ST,transport,Industrials
AVI.MI,weapons industry,Industrials
YIT.HE,construction,Industrials
SANOMA.HE,media industry,Communication
ACBr.AT,financial sector,Financials
UMG.AS,music industry,Other
MAB.L,brewing industry,Other
IHG.L,hotel industry,Consumer Discretionary
ALMAC.HE,publishing,Communication
VID.MC,industrial sector,Industrials
WALLb.ST,property management,Real Estate
MRON.L,financial services,Financials
YAR.OL,chemical industry,Materials
ARIS.MI,home appliance industry,Other
ELI.BR,electric power industry,Utilities
QTCOM.HE,software industry,Information Technology
BGN.MI,financial services,Financials
AFAGR.HE,mining industry,Materials
MOTR.L,car dealership,Other
SCTS.L,information technology,Information Technology
AZN.L,pharmaceutical industry,Health Care
GOMX.ST,aerospace industry,Industrials
SAA.L,marketing,Other
NCCG.L,research,Other
HLN.L,pharmaceutical industry,Health Care
AMS.S,semiconductor industry,Information Technology
ENAV.MI,commodities market,Other
SYNACT.ST,biotechnology,Health Care
DIAL.L,electronics,Information Technology
KPN.AS,telecommunications,Communication
RMV.L,Internet,Information Technology
ANORA.HE,beverage industry,Consumer Staples
FSECURE.HE,software industry,Information Technology
DEHr.AT,energy industry,Other
LUXP.LU,finance,Financials
B5A0n.H,construction,Industrials
EXOR.AS,financial sector,Financials
BVI.PA,activities of head offices,Other
IWG.L,facility management,Other
INGP.WA,financial services,Financials
BAMI.MI,economics of banking,Financials
HEIMpref.ST,real property,Real Estate
LXSG.DE,chemical industry,Materials
BLPU.L,publishing,Communication
VERVE.ST,phonographic industry,Other
FLOW.AS,financial services,Financials
GOFORE.HE,information technology industry,Information Technology
DB1Gn.DE,financial services,Financials
BLOP.WA,video game industry,Other
BIRG.I,economics of banking,Financials
LANDI.S,electronics,Information Technology
AEMr.AT,mass media,Communication
UD.MI,telecommunications,Communication
GRANG.ST,metallurgy,Materials
EVOK.L,gambling industry,Other
ETL.PA,satellite telecommunications,Communication
PHNU.MI,pharmaceutical industry,Health Care
IPN.PA,activities of head offices,Other
STOGR.CO,tobacco industry,Consumer Staples
HFGG.DE,food retail sector,Consumer Staples
BOOZT.ST,retail,Consumer Discretionary
BHGF.ST,retail,Consumer Discretionary
VIK1V.HE,tourism,Consumer Discretionary
BCHN.S,mechanical engineering,Industrials
BNRGn.DE,Wholesale of chemical products,Materials
BKWB.S,energy supply,Other
VRLA.PA,manufacture of hollow glass,Materials
ADYEN.AS,mobile payment industry,Other
MHPCq.L,agriculture,Consumer Staples
ALLFG.AS,other monetary intermediations,Communication
ORNBV.HE,pharmaceutical industry,Health Care
AUSS.OL,fish farming,Other
ROCKb.CO,construction materials industry,Materials
CE2G.H,energy sector,Other
DNLM.L,retail,Consumer Discretionary
SOME.MI,bicycle industry,Other
BGEO.L,banking,Financials
AKVA.OL,aquaculture,Other
BBN.S,investment management,Financials
UBIP.PA,video game publishing,Communication
PV.DE,industrial manufacturing,Industrials
RWA.L,employment services industry,Other
PEO.WA,financial services,Financials
JD.L,retail,Consumer Discretionary
PCT.L,investment,Financials
ITPG.MI,manufacture of machinery and equipment,Industrials
